# index ref form lemma:morpheus lemma:cltk lemma:cltk-stanza lemma:dilemma pos:morpheus pos:cltk pos:cltk-stanza pos:dilemma agree
3741 17.01.01 πόλεως πόλις πόλις πόλις πόλις N- N- N- N- Y
3742 17.01.01 ἐξέβαλεν ἐκβάλλω ἐκβάλλω ἐκβάλλω ἐκβάλλω V- V- V- V- Y
3743 17.01.01 οὐκ οὐ οὐ οὐ οὐ D- D- D- D- Y
3744 17.01.01 ὀλίγους ὀλίγος ὀλίγος ὀλίγος ὀλίγος A- A- A- A- Y
3745 17.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3746 17.01.01 ἐκεῖ ἐκεῖ ἐκεῖ ἐκεῖ ἐκεῖ D- D- D- D- Y
3747 17.01.01 Ἑλλήνων, Ἕλλην ἕλλην Ἕλλην Ἕλλην N- N- N- N- N
3748 17.01.01 ἄλλους ἄλλος ἄλλος ἄλλος ἄλλος RP A- RP RP Y
3749 17.01.01 δὲ δέ δέ δέ δέ X- C- C- C- Y
3750 17.01.01 καὶ καί καί καί καί C- D- D- C- Y
3751 17.01.01 ἐφόνευσεν φονεύω ἐφόνευσεν φονεύω φονεύω V- V- V- V- N
3752 17.01.01 ὡς ὡς ὡς ὡς ὡς C- D- C- C- Y
3753 17.01.01 ξυνωμότας συνωμότης ξυνωμότας ξύνωμός συνωμότης N- V- N- N- N
3754 17.01.01 ὄντας εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
3755 17.01.01 καὶ καί καί καί καί C- C- C- C- Y
3756 17.01.01 ἀπίστους· ἄπιστος ἀπίστος ἄπιστος ἄπιστος A- A- A- A- N
3757 17.01.01 καὶ καί καί καί καί C- D- D- C- Y
3758 17.01.01 στρατιώτας στρατιώτης στρατιώτης στρατιώτης στρατιώτης N- N- N- N- Y
3759 17.01.01 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
3760 17.01.01 τὰς ὁ ὁ ὁ ὁ RA RA RA RA Y
3761 17.01.01 οἰκίας οἰκία οἰκία οἰκία οἰκία N- N- N- N- Y
3762 17.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3763 17.01.01 ἰδιωτῶν ἰδιώτης ἰδιώτης ἰδιώτης ἰδιώτης N- N- N- N- Y
3764 17.01.01 διέπεμψεν διαπέμπω διέπεμψεν διαπέμπω διαπέμπω V- V- V- V- N
3765 17.01.01 ἐπὶ ἐπί ἐπί ἐπί ἐπί P- P- P- P- Y
3766 17.01.01 ζήτησιν ζήτησις ζήτησις ζῆτη ζήτησις N- N- N- N- N
3767 17.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3768 17.01.01 ὅπλων ὅπλον ὅπλον ὅπλον ὅπλον N- N- N- N- Y
3769 17.01.01 διὰ διά διά διά διά P- P- P- P- Y
3770 17.01.01 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3771 17.01.01 πάντας πᾶς πᾶς πᾶς πᾶς A- A- A- RP Y
3772 17.01.01 ὁμοίως ὅμοιος ὁμοίως ὅμοιος ὅμοιος A- D- D- D- N
3773 17.01.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
3774 17.01.01 ὑποψίᾳ ὑποψία ὑποψία ὑποψία ὑποψία N- V- N- N- Y
3775 17.01.01 ἔχειν. ἔχω ἔχω ἔχω ἔχω V- V- V- V- Y
3776 17.02.01 φανερῶν φανερός φανερός φανερός φανερός A- V- A- A- Y
3777 17.02.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
3778 17.02.01 γενομένων γίγνομαι γίγνομαι γίγνομαι γίνομαι V- V- V- V- N
3779 17.02.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3780 17.02.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
3781 17.02.01 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
3782 17.02.01 Πελοποννήσῳ Πελοπόννησος πελοπόννησος Πελοπόννησος Πελοπόννησος N- N- N- N- N
3783 17.02.01 καὶ καί καί καί καί C- C- C- C- Y
3784 17.02.01 μᾶλλον μᾶλλον μᾶλλον μᾶλλον μᾶλλον D- D- D- D- Y
3785 17.02.01 ὠργίζετο ὀργίζω ὠργίζω ὀργίζω ὀργίζω V- V- V- V- N
3786 17.02.01 καὶ καί καί καί καί C- C- C- C- Y
3787 17.02.01 ἔδοξε δοκέω δοκέω δοκέω δοκέω V- V- V- V- Y
3788 17.02.01 μέγα μέγας μέγας μέγας μέγας A- A- A- A- Y
3789 17.02.01 τι τις τὶς τις τίς RI RA RP RP N
3790 17.02.01 πρᾶγμα πρᾶγμα πρᾶγμα πρᾶγμα πρᾶγμα N- N- N- N- Y
3791 17.02.01 πράξαντα πράσσω πράξαντα πράσσω πράσσω V- V- V- V- N
3792 17.02.01 ἐκπλῆξαι ἐκπλήσσω ἐκπλῆζω ἐκπλήσσω ἐκπλήσσω V- V- V- V- N
3793 17.02.01 τοὺς ὁ ὁ ὁ ὁ RA RA RA RA Y
3794 17.02.01 ὑπηκόους. ὑπήκοος ὑπήκοος ὑπάκοος ὑπήκους A- A- A- A- N
3795 17.02.02 πρῶτον πρότερος πρῶτος πρῶτος πρῶτος A- A- A- A- N
3796 17.02.02 μὲν μέν μέν μέν μέν X- D- D- X- Y
3797 17.02.02 οὖν οὖν οὖν οὖν οὖν X- D- D- X- Y
3798 17.02.02 ξυνέλαβεν συλλαμβάνω ξυνέλαβεν συνλαμβάνω συλλαμβάνω V- V- V- V- N
3799 17.02.02 ἑπτὰ ἑπτά ἑπτά ἑπτά ἑπτά A- A- A- A- Y
3800 17.02.02 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3801 17.02.02 ἀρχιερέων ἀρχιέρεως ἀρχιερεύς ἀρχιερής ἀρχιερεύς N- N- A- N- N
3802 17.02.02 καὶ καί καί καί καί C- C- C- C- Y
3803 17.02.02 ἔδησεν δέω1 δέω δέω δέω V- V- V- V- N
3804 17.02.02 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
3805 17.02.02 τῷ ὁ ὁ ὁ ὁ RA RA RA RA Y
3806 17.02.02 δεσμωτηρίῳ· δεσμωτήριον δεσμωτήριον δεσμωτήρ δεσμωτήριον N- N- N- N- N
3807 17.02.02 καὶ καί καί καί καί C- D- D- C- Y
3808 17.02.02 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
3809 17.02.02 τῷ ὁ ὁ ὁ ὁ RA RA RA RA Y
3810 17.02.02 αὐτοὺς αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3811 17.02.02 ξυλλαβεῖν συλλαμβάνω ξυλλαβέω συλλαμβάνω συλλαμβάνω V- V- V- V- N
3812 17.02.02 ἤλπισε ἐλπίζω ἐλπιύνω ἐλπίζω ἐλπίζω V- V- V- V- N
3813 17.02.02 μεγάλην μέγας μέγας μέγας μέγας A- A- A- A- Y
3814 17.02.02 ἔκπληξιν ἔκπληξις ἔκπληξις ἔκπληξις ἔκπληξις N- N- N- N- Y
3815 17.02.02 παρέξειν παρέχω παρέχω παρέχω παρέχω V- V- V- V- Y
3816 17.02.02 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
3817 17.02.02 ἄλλοις. ἄλλος ἄλλος ἄλλος ἄλλος RP A- A- RP Y
3818 17.02.03 ἔπειτα ἔπειτα ἔπειτα ἔπειτα ἔπειτα D- D- D- D- Y
3819 17.02.03 καὶ καί καί καί καί C- C- D- C- Y
3820 17.02.03 αὐτὸν αὐτός αὐτός αὐτός αὐτός RP RA A- RP Y
3821 17.02.03 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
3822 17.02.03 Γρηγόριον Γρηγόριος Γρηγόριος γρηγόριον Γρηγόριος N- N- N- N- N
3823 17.02.03 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
3824 17.02.03 Πατριάρχην πατριάρχης Πατριάρχης Πατριάρχη Πατριάρχης N- N- N- N- N
3825 17.02.03 ἀπέκτεινεν ἀποκτείνω ἀποκτείνω ἀποκτείνω ἀποκτείνω V- V- V- V- Y
3826 17.02.03 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
3827 17.02.03 τρόπῳ τρόπος τρόπος τρόπος τρόπος N- N- N- N- Y
3828 17.02.03 τοιῷδε. τοιόσδε τοιόσδε τοιόσδε τοιόσδε RP A- A- RP Y
3829 17.02.04 ἦλθεν ἔρχομαι ἔρχομαι ἔρχομαι ἔρχομαι V- V- V- V- Y
3830 17.02.04 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
3831 17.02.04 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
3832 17.02.04 οἰκίαν οἰκία οἰκία οἰκία οἰκία N- N- N- N- Y
3833 17.02.04 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3834 17.02.04 Γρηγορίου Γρηγόριος Γρηγορῖος Γρηγόριος Γρηγόριος N- N- N- N- N
3835 17.02.04 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
3836 17.02.04 μέγας μέγας μέγας μέγας μέγας A- A- A- A- Y
3837 17.02.04 διερμηνεὺς - διερμηνεύς διερμηνής διερμηνεύς -- N- A- N- N
3838 17.02.04 μετὰ μετά μετά μετά μετά P- P- P- P- Y
3839 17.02.04 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3840 17.02.04 γραμματέως γραμματεύς γραμματεύς γραμματής γραμματεύς N- D- D- N- N
3841 17.02.04 καὶ καί καί καί καί C- C- C- C- Y
3842 17.02.04 στρατιωτῶν στρατιώτης στρατιώτης στρατιώτης στρατιώτης N- N- N- N- Y
3843 17.02.04 τινῶν τις τὶς τις τις RI RA A- RP N
3844 17.02.04 καὶ καί καί καί καί C- C- C- C- Y
3845 17.02.04 ἤγγειλεν ἀγγέλλω ἤγγειλεν ἀγγέλλω ἀγγέλλω V- V- V- V- N
3846 17.02.04 αὐτῷ αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3847 17.02.04 ὅτι ὅστις ὅτι ὅτι ὅτι RR C- C- C- N
3848 17.02.04 δεῖ δέομαι δεῖ δεῖ δέω V- V- V- V- N
3849 17.02.04 εὐθὺς εὐθύς1 εὐθύς εὐθύς εὐθύς A- D- D- D- N
3850 17.02.04 τοὺς ὁ ὁ ὁ ὁ RA RA RA RA Y
3851 17.02.04 ἀρχιερέας ἀρχιερεύς ἀρχιερύς ἀρχιερής ἀρχιερεύς N- A- A- N- N
3852 17.02.04 ξυγκαλεῖν συγκαλέω ξυγκαλέω συγκαλέω συγκαλέω V- V- V- V- N
3853 17.02.04 ὡς ὡς ὡς ὡς ὡς C- D- C- C- Y
3854 17.02.04 περὶ περί περί περί περί P- P- P- P- Y
3855 17.02.04 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3856 17.02.04 παρόντων πάρειμι1 πάρειμι πάρειμι πάρειμι V- V- V- V- N
3857 17.02.04 βουλεύσοντας. βουλεύω βουλεύσω βουλεύω βουλεύω V- V- V- V- N
3858 17.02.05 καὶ καί καί καί καί C- C- D- C- Y
3859 17.02.05 ἐπειδὴ ἐπεί ἐπειδή ἐπεί ἐπεί C- C- C- C- N
3860 17.02.05 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
3861 17.02.05 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3862 17.02.05 βουλευτήριον βουλευτήριον βουλευτήριος βουλευτήριον βουλευτήριον N- N- N- N- N
3863 17.02.05 οἱ ἕ ὁ ἕ ὁ RP RA RP RA N
3864 17.02.05 ἀρχιερῆς ἀρχιερεύς ἀρχιερός ἀρχιερής ἀρχιερεύς N- A- A- N- N
3865 17.02.05 ξυνῆλθον συνέρχομαι ξυνῆλθος συνέρχομαι συνέρχομαι V- V- V- V- N
3866 17.02.05 (τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3867 17.02.05 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
3868 17.02.05 μὴ μή μή μή μή C- D- D- D- Y
3869 17.02.05 ὑπακούειν ὑπακούω ὑπακούω ὑπακούω ὑπακούω V- V- V- V- Y
3870 17.02.05 δεινὸν δεινός δεινός δεινός δεινός A- A- A- A- Y
3871 17.02.05 ἐφαίνετο φαίνω φαίνω φαίνω φαίνω V- V- V- V- Y
3872 17.02.05 αὐτοῖς) αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3873 17.02.05 ἀναγιγνώσκεται ἀναγιγνώσκω ἀναγιγνώσκομαι ἀναγιγνώσκω ἀναγιγνώσκω V- V- V- V- N
3874 17.02.05 ὑπὸ ὑπό ὑπό ὑπό ὑπό P- P- P- P- Y
3875 17.02.05 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3876 17.02.05 μεγάλου μέγας μέγας μέγας μέγας A- A- A- A- Y
3877 17.02.05 διερμηνέως - διερμηνέωςν διερμηνής διερμηνέας -- D- D- N- N
3878 17.02.05 ἐπιστολὴ ἐπιστολή ἐπιστολή ἐπιστολή ἐπιστολή N- N- N- N- Y
3879 17.02.05 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
3880 17.02.05 ᾗ ᾗ ὅς ὅς ὅς D- RR RP RP N
3881 17.02.05 κατηγόρησε κατηγορέω κατηγόρησε κατηγορέω κατηγορέω V- V- V- V- N
3882 17.02.05 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3883 17.02.05 Γρηγορίου Γρηγόριος Γρηγορίας Γρηγόριος Γρηγόριος N- N- N- N- N
3884 17.02.05 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
3885 17.02.05 Σουλτάνος - Σουλτάνος Σουλτάνος Σουλτάνος -- N- N- N- Y
3886 17.02.05 ὡς ὡς ὡς ὡς ὡς C- C- C- C- Y
3887 17.02.05 προδότου πρόδοτος προδότος πρόδοτος προδότης A- N- N- N- N
3888 17.02.05 ὄντος εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
3889 17.02.05 καὶ καί καί καί καί C- D- C- C- Y
3890 17.02.05 μετὰ μετά μετά μετά μετά P- P- P- P- Y
3891 17.02.05 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3892 17.02.05 πολεμίων πολέμιος πολέμιος πολέμιος πολέμιος A- N- A- A- Y
3893 17.02.05 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3894 17.02.05 βασιλέως βασιλεύς βασιλεύς βασιλεύς βασιλεύς N- N- N- N- Y
3895 17.02.05 ξυμπράσσοντος. συμπράσσω ξυμπράσσω συμπράσσω συμπράσσω V- V- V- V- N
3896 17.02.06 ἀπήγαγον ἀπάγω ἀπάγω ἀπάγω ἀπάγω V- V- V- V- Y
3897 17.02.06 οὖν οὖν οὖν οὖν οὖν X- D- D- X- Y
3898 17.02.06 αὐτὸν αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3899 17.02.06 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
3900 17.02.06 στρατιῶται στρατιώτης στρατιώτης στρατιώτης στρατιώτης N- N- N- N- Y
3901 17.02.06 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
3902 17.02.06 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3903 17.02.06 δεσμωτήριον. δεσμωτήριον δεσμωτήριον δεσμωτήριον δεσμωτήριον N- N- N- N- Y
3904 17.03.01 ἀποχωρήσαντος ἀποχωρέω ἀποχωρήσαντος ἀποχωρέω ἀποχωρέω V- V- V- V- N
3905 17.03.01 δὲ δέ δέ δέ δέ X- D- D- C- Y
3906 17.03.01 αὐτοῦ αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3907 17.03.01 ὁ ὁ ὁ ὁ ὁ RA RA RA RA Y
3908 17.03.01 διερμηνεὺς - διερμηνεύς διερμηνής διερμηνεύς -- N- A- N- N
3909 17.03.01 εὐθὺς εὐθύς1 εὐθύς εὐθύς εὐθύς A- D- D- D- N
3910 17.03.01 ἐκέλευσε κελεύω κελεύω κελεύω κελεύω V- V- V- V- Y
3911 17.03.01 τοὺς ὁ ὁ ὁ ὁ RA RA RA RA Y
3912 17.03.01 παρόντας πάρειμι1 πάρειμι πάρειμι πάρειμι V- N- V- V- N
3913 17.03.01 αἱρεῖσθαι αἱρέω αἱρεῖμι αἱρέω αἱρέω V- V- V- V- N
3914 17.03.01 ἄλλον ἄλλος ἄλλος ἄλλος ἄλλος RP A- A- RP Y
3915 17.03.01 τινὰ τις τὶς τις τις RI RA A- RP N
3916 17.03.01 Πατριάρχην πατριάρχης Πατριάρχη Πατριάρχη Πατριάρχης N- N- N- N- N
3917 17.03.01 ἀντὶ ἀντί ἀντί ἀντί ἀντί P- P- P- P- Y
3918 17.03.01 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3919 17.03.01 Γρηγορίου. Γρηγόριος Γρηγορίας Γρηγόριος Γρηγόριος N- N- N- N- N
3920 17.03.02 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
3921 17.03.02 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
3922 17.03.02 βασιλέα βασιλεύς βασιλεύς βασιλεύς βασιλεύς N- N- N- N- Y
3923 17.03.02 οὐ οὐ οὐ οὐ οὐ D- D- D- D- Y
3924 17.03.02 βούλεσθαι βούλομαι βούλομαι βούλομαι βούλομαι V- V- V- V- Y
3925 17.03.02 τοὺς ὁ ὁ ὁ ὁ RA RA RA RA Y
3926 17.03.02 Χριστιανοὺς Χριστιανός Χριστιανός Χριστιανός Χριστιανός N- N- N- N- Y
3927 17.03.02 ἄνευ ἄνευ ἄνευ ἄνευ ἄνευ P- P- P- P- Y
3928 17.03.02 Πατριάρχου πατριάρχης πατριάρχης Πάτριαρχος Πατριάρχου N- N- N- N- N
3929 17.03.02 εἶναι εἰμί εἰμί εἰμί ἔρχομαι V- V- V- V- N
3930 17.03.02 διὰ διά διά διά διά P- P- P- P- Y
3931 17.03.02 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3932 17.03.02 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
3933 17.03.02 ἑορτὴν ἑορτή ἑορτή ἑορτή ἑορτή N- N- N- N- Y
3934 17.03.02 ἄγειν ἄγω ἄγω ἄγω ἄγω V- V- V- V- Y
3935 17.03.02 (ἔτυχον τυγχάνω τυγχάνω τυγχάνω τυγχάνω V- V- V- V- Y
3936 17.03.02 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
3937 17.03.02 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3938 17.03.02 Πάσχα πάσχα πάσχα Πάσχα Πάσχα -- N- N- N- N
3939 17.03.02 ποιήσοντες ποιέω ποιήσω ποιέω ποιέω V- V- V- V- N
3940 17.03.02 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
3941 17.03.02 ἐπιγιγνομένη ἐπιγίγνομαι ἐπιγιγνομένη ἐπιγίγνομαι ἐπιγίγνομαι V- V- V- V- N
3942 17.03.02 ἡμέρᾳ). ἥμερος ἡμέρα ἡμέρα ἡμέρα A- N- N- N- N
3943 17.03.03 καὶ καί καί καί καί C- C- D- C- Y
3944 17.03.03 τῇ ὁ ὁ ὁ ὁ RA RA RA RA Y
3945 17.03.03 ὑστεραίᾳ ὑστεραῖος ὑστεραῖος ὑστεραῖος ὑστεραῖος A- A- A- A- Y
3946 17.03.03 κελεύσαντος κελεύω κελεύω κελεύω κελεύω V- V- V- V- Y
3947 17.03.03 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3948 17.03.03 Σουλτάνου - Σουλτάνος Σούλτανος Σουλτάνου -- N- N- N- N
3949 17.03.03 ὁπλῖταί ὁπλίτης ὁπλῖταί ὁπλίτης ὁπλίτης N- V- N- N- N
3950 17.03.03 τινες τις τὶς τις τις RI A- RP RP N
3951 17.03.03 καὶ καί καί καί καί C- C- C- C- Y
3952 17.03.03 ἱππῆς ἱππεύς ἱππεύς ἱππεύς ἱππεύς N- N- N- N- Y
3953 17.03.03 ἐξήγαγον ἐξάγω ἐξάγω ἐξάγω ἐξάγω V- V- V- V- Y
3954 17.03.03 ἐκ ἐκ ἐκ ἐκ ἐκ P- P- P- P- Y
3955 17.03.03 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3956 17.03.03 δεσμωτηρίου δεσμωτήριον δεσμωτήριον δεσμωτήριον δεσμωτήριον N- N- N- N- Y
3957 17.03.03 τὸν ὁ ὁ ὁ ὁ RA RA RA RA Y
3958 17.03.03 Γρηγόριον Γρηγόριος Γρηγόριος γρηγόριον Γρηγόριος N- N- N- N- N
3959 17.03.03 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
3960 17.03.03 σκευὴν σκευή σκευή σκευή σκευή N- N- N- N- Y
3961 17.03.03 ἱερὰν ἱερά ἱερός ἱερός ἱερός N- A- A- A- N
3962 17.03.03 ἔτι ἔτι ἔτι ἔτι ἔτι D- D- D- D- Y
3963 17.03.03 φοροῦντα φορέω φορέω φορέω φορέω V- V- V- V- Y
3964 17.03.03 καὶ καί καί καί καί C- C- C- C- Y
3965 17.03.03 διὰ διά διά διά διά P- P- P- P- Y
3966 17.03.03 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
3967 17.03.03 ὁδῶν ὁδάω ὁδός ὁδός ὁδός V- N- N- N- N
3968 17.03.03 πορευόμενοι πορεύω πορεύομαι πορεύω πορεύω V- V- V- V- N
3969 17.03.03 ἀφίκοντο ἀφικνέομαι ἀφικνέομαι ἀφικνέομαι ἀφικνέομαι V- V- V- V- Y
3970 17.03.03 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
3971 17.03.03 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
3972 17.03.03 οἰκίαν οἰκία οἰκία οἰκία οἰκία N- N- N- N- Y
3973 17.03.03 αὐτοῦ αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3974 17.03.03 καὶ καί καί καί καί C- C- C- C- Y
3975 17.03.03 ἐνθάδε ἐνθάδε ἐνθάδε ἐνθάδε ἐνθάδε D- D- D- D- Y
3976 17.03.03 πρὸ πρό πρό πρό πρό P- P- P- P- Y
3977 17.03.03 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
3978 17.03.03 θύρας θύρα θύρα θύρα θύρα N- N- N- N- Y
3979 17.03.03 ἀπάγχουσιν ἀπάγχω ἀπάγχω ἀπέχχομαι ἀπάγχω V- V- V- V- N
3980 17.03.03 αὐτὸν αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
3981 17.03.03 καίπερ καίπερ καίπερ καίπερ καίπερ X- D- D- D- Y
3982 17.03.03 ἀναίτιον ἀναίτιος ἀναίτιος ἀναίτιος ἀναίτιος A- A- A- A- Y
3983 17.03.03 ὄντα εἰμί εἰμί εἰμί εἰμί V- V- V- V- Y
3984 17.03.03 καὶ καί καί καί καί C- C- C- C- Y
3985 17.03.03 ἄκριτον. ἄκριτος ἄκριτος ἄκριτος ἄκριτος A- A- A- A- Y
3986 18.01.01 καὶ καί καί καί καί C- C- D- C- Y
3987 18.01.01 ἐπὶ ἐπί ἐπί ἐπί ἐπί P- P- P- P- Y
3988 18.01.01 μὲν μέν μέν μέν μέν X- D- D- X- Y
3989 18.01.01 τρεῖς τρέω τρεῖς τρεῖς τρεῖς V- A- A- A- N
3990 18.01.01 ἡμέρας ἥμερος ἡμέρα ἡμέρα ἡμέρα A- N- N- N- N
3991 18.01.01 πρὸ πρό πρό πρό πρό P- P- P- P- Y
3992 18.01.01 τῆς ὁ ὁ ὁ ὁ RA RA RA RA Y
3993 18.01.01 οἰκίας οἰκία οἰκία οἰκία οἰκία N- N- N- N- Y
3994 18.01.01 ἔμενε μένω μένω μένω μένω V- V- V- V- Y
3995 18.01.01 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
3996 18.01.01 σῶμα σῶμα σῶμα σῶμα σῶμα N- N- N- N- Y
3997 18.01.01 τοῦ ὁ ὁ ὁ ὁ RA RA RA RA Y
3998 18.01.01 Πατριάρχου, πατριάρχης πατριάρχης Πάτριαρχος Πατριάρχου N- N- N- N- N
3999 18.01.01 ἔπειτα ἔπειτα ἔπειτα ἔπειτα ἔπειτα D- D- D- D- Y
4000 18.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
4001 18.01.01 ἐν ἐν ἐν ἐν ἐν P- P- P- P- Y
4002 18.01.01 τέλει τέλος τέλος τέλος τέλος N- N- N- N- Y
4003 18.01.01 ἐκέλευσαν κελεύω κελεύω κελεύω κελεύω V- V- V- V- Y
4004 18.01.01 τῶν ὁ ὁ ὁ ὁ RA RA RA RA Y
4005 18.01.01 Ἰουδαίων Ἰουδαῖος ἰουδαῖος Ἰούδαιος Ἰουδαῖος A- A- N- A- N
4006 18.01.01 τινὰς τις τὶς τις τις RI RA RP RP N
4007 18.01.01 (ἔχθιστοι ἔχθιστος ἔχθιστοι ἔχθιστος ἐχθρός A- A- A- A- N
4008 18.01.01 γὰρ γάρ γάρ γάρ γάρ X- D- D- X- Y
4009 18.01.01 ἦσαν εἰμί εἰμί εἰμί ἥδω V- V- V- V- N
4010 18.01.01 οἱ ἕ ὁ ὁ ὁ RP RA RA RA N
4011 18.01.01 Ἰουδαῖοι Ἰουδαῖος ἰουδαῖος Ἰουδαῖος Ἰουδαῖος A- A- N- A- N
4012 18.01.01 τοῖς ὁ ὁ ὁ ὁ RA RA RA RA Y
4013 18.01.01 Ἕλλησιν) Ἕλλην ἕλλην Ἕλλην Ἕλλην N- N- N- N- N
4014 18.01.01 ἀποκομίζειν ἀποκομίζω ἀποκομίζω ἀποκομίζω ἀποκομίζω V- V- V- V- Y
4015 18.01.01 αὐτὸ αὐτός αὐτός αὐτός αὐτός RP RP RP RP Y
4016 18.01.01 καὶ καί καί καί καί C- C- C- C- Y
4017 18.01.01 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
4018 18.01.01 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
4019 18.01.01 θάλασσαν θάλασσα θάλασσα θάλασσα θάλασσα N- N- N- N- Y
4020 18.01.01 ῥίπτειν. ῥίπτω ῥίπτω ῥίπτω ῥίπτω V- V- V- V- Y
4021 18.01.02 ἐκεῖνοι ἐκεῖνος ἐκεῖνος ἐκεῖνος ἐκεῖνος RD A- RP RP Y
4022 18.01.02 οὖν οὖν οὖν οὖν οὖν X- D- D- X- Y
4023 18.01.02 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
4024 18.01.02 πλοῖον πλοῖον πλοῖον πλοῖον πλοῖον N- N- N- N- Y
4025 18.01.02 ἐσβάντες εἰσβαίνω εἰσβαίνω εἰσβαίνω εἰσβαίνω V- V- V- V- Y
4026 18.01.02 καὶ καί καί καί καί C- C- C- C- Y
4027 18.01.02 σπάρτῳ σπάρτον σπάρτον σπάρτος σπάρτον N- N- N- N- N
4028 18.01.02 δήσαντες δέω1 δέω δέω δέω V- V- V- V- N
4029 18.01.02 λίθον λίθος λίθος λίθος λίθος N- N- N- N- Y
4030 18.01.02 πρὸς πρός πρός πρός πρός P- P- P- P- Y
4031 18.01.02 τὸ ὁ ὁ ὁ ὁ RA RA RA RA Y
4032 18.01.02 σῶμα σῶμα σῶμα σῶμα σῶμα N- N- N- N- Y
4033 18.01.02 ἔρριψαν ῥίπτω ἔρριψαν ῥίπτω ῥίπτω V- V- V- V- N
4034 18.01.02 ἐς εἰς εἰς εἰς εἰς P- P- P- P- Y
4035 18.01.02 τὴν ὁ ὁ ὁ ὁ RA RA RA RA Y
4036 18.01.02 θάλασσαν· θάλασσα θάλασσα θάλασσα θάλασσα N- N- N- N- Y
4037 18.01.02 ἀλλ’ ἀλλά ἀλλ ἀλλ ἀλλά D- D- N- C- N
